Course ID;Course Title;Is Paid;Price;Subscribers;Reviews;Lectures;Level;Duration;Publish Date;Subject,,,,,,
422306;Problem-solving and Decision-making Strategies;TRUE;$149,00;14.936;600;28;Expert Level;4 hours;2015-02-22;Public Speaking,,,,,
439122;Excellence in Excel! Create a bookkeeping tools by doing.;TRUE;$49,00;20.840;133;21;Beginner Level;1.6 hours;2015-03-06;Excel Basic,,,,,
120654;Ditch Auto: Editing Workflow in Lightroom & Photoshop;FALSE;Free;32.779;569;6;All Levels;1.1 hours;2013-11-16;Graphic Design,,,,,,
4062646;Laser Focus Mastery 2023 | 100% Energy to Tackle Anything;TRUE;$99,00;14.191;58;10;All Levels;56 mins;2021-06-18;Public Speaking,,,,,
1235868;How To Make Beats For Rappers On An iPhone or iPad;TRUE;$19,00;3.190;35;17;All Levels;1 hour;2017-06-06;Musical Instruments,,,,,
249130;Visual Paradigm Essential;FALSE;Free;57.552;3.143;28;Intermediate Level;5.2 hours;2014-10-15;Web Development,,,,,,
827278;Selling on Amazon: Build a Successful Dropshipping Business;TRUE;$49,00;30.105;216;51;All Levels;2.3 hours;2016-04-20;Business Finance,,,,,
289116;Lumion for Architects;FALSE;Free;17.633;689;21;Beginner Level;1.9 hours;2014-10-15;Graphic Design,,,,,,
1597516;The Story Course - Storytelling Masterclass;TRUE;$169,00;15.200;2.384;32;All Levels;2.8 hours;2018-03-15;Public Speaking,,,,,
1675864;Intro to Linux Shell Scripting (Free course);FALSE;Free;111.276;7.814;6;Beginner Level;45 mins;2018-05-04;Web Development,,,,,,
3905144;Hiring Process: Talent Management;TRUE;$99,00;64.296;1.009;12;Beginner Level;49 mins;2021-03-12;Business Finance,,,,,
1546258;Start A T-Shirt Dropshipping Business With Shopify (POD);FALSE;Free;29.667;1.536;12;Intermediate Level;1.2 hours;2018-02-08;Business Finance,,,,,,
3923356;HVAC Ductwork Quantity Take off for Quantity Surveyors;TRUE;$24,00;25.624;217;10;All Levels;42 mins;2021-03-20;Business Finance,,,,,
511902;ISTQB Certified Tester Foundation Level Training (CTFL);FALSE;Free;32.354;2.002;65;All Levels;10.6 hours;2015-06-12;Cyber Security,,,,,,
2636008;Introduction to Service Management with ITIL 4;TRUE;$49,00;87.668;29.977;24;All Levels;1.8 hours;2019-11-04;Cyber Security,,,,,
2559768;Bootstrap 4 Basics Guide 2022;TRUE;$199,00;50.723;203;88;Intermediate Level;6.8 hours;2019-09-25;Web Development,,,,,
2580026;The Complete Creativity Course: Unleash Your Innovation Now!;TRUE;$199,00;40.051;167;174;Intermediate Level;9.3 hours;2019-10-05;Public Speaking,,,,,
2605644;Adobe InDesign Basics Guide 2022;TRUE;$19,00;36.279;87;53;Beginner Level;1.6 hours;2019-10-14;Cyber Security,,,,,
3415214;Build an Amazon Affiliate E-Commerce Store from Scratch;TRUE;$34,00;123.828;681;28;Beginner Level;4.8 hours;2020-08-20;Web Development,,,,,
2853144;Airtable Ultimate Guide 2022;TRUE;$19,00;31.865;69;114;Beginner Level;4.6 hours;2020-03-25;Excel Basic,,,,,
60344;Programming for Kids - How to Make Coding Fun;FALSE;Free;64.142;2.709;20;All Levels;1.1 hours;2014-03-17;Web Development,,,,,,
593074;Gamification: Motivation Psychology & The Art of Engagement;TRUE;$94,00;25.701;7.775;46;Intermediate Level;3.1 hours;2015-10-19;Graphic Design,,,,,
918278;How to draw a realistic eye;FALSE;Free;40.172;1.877;7;All Levels;34 mins;2016-08-11;Graphic Design,,,,,,
1105794;Piano Music Theory (Back To Basics) by JFilt;FALSE;Free;33.572;1.769;12;All Levels;30 mins;2017-02-13;Musical Instruments,,,,,,
611970;Accelerate Your Learning & Acquire Any New Skill... Fast!;TRUE;$199,00;13.794;167;26;Beginner Level;1.8 hours;2015-09-22;Public Speaking,,,,,
722416;MongoDB Essentials - Understand the Basics of MongoDB;FALSE;Free;111.705;8.472;11;All Levels;33 mins;2016-01-12;Web Development,,,,,,
1128722;Music Production with Presonus Studio One;TRUE;$49,00;4.463;1.138;35;All Levels;2.2 hours;2017-03-13;Musical Instruments,,,,,
